,translation
25,"{'en': 'yes', 'hi_en': 'haan'}"
26,"{'en': 'but the characters served justice ', 'hi_en': 'lekin is character tho badiya justice deya hein'}"
27,"{'en': 'to the movie really well', 'hi_en': 'is movie ke liye tho badiya hein'}"
28,"{'en': 'It also has Sharlto Copley  as the male lead', 'hi_en': 'male lead tho Sharlto copley ne hi kiya'}"
29,"{'en': 'yes he is really good', 'hi_en': 'haan voh tho badiya hein'}"
30,"{'en': 'has he been in anything else you know of?', 'hi_en': 'kya aur kuch iske baare mein kuch patha hein?'}"
31,"{'en': 'yes i do', 'hi_en': 'haan muje patha hein'}"
32,"{'en': 'tell me', 'hi_en': 'to boliye'}"
33,"{'en': 'chappie', 'hi_en': 'chappie'}"
34,"{'en': 'a team', 'hi_en': 'yek team'}"
35,"{'en': 'free fire', 'hi_en': 'free fire'}"
36,"{'en': 'oh nice', 'hi_en': 'acha nice hein'}"
37,"{'en': 'hardcore henry also', 'hi_en': 'hardcore henry bhi hein'}"
38,"{'en': 'hi', 'hi_en': 'Namaste'}"
39,"{'en': 'Hey', 'hi_en': 'thik hai'}"
40,"{'en': 'so what movie r we chating bout', 'hi_en': 'To kis movie ke bare mei ham baat kar rahe hai'}"
41,"{'en': 'The notebook', 'hi_en': 'ye Kitaab'}"
42,"{'en': ""It's a romantic drama"", 'hi_en': 'Ye ek romantic natak hai'}"
43,"{'en': 'best and only romantiv film  i ever enjoyed', 'hi_en': 'bahut aachi or keval ek romantic movie jisko mene hamesh maja liya hai'}"
44,"{'en': 'hello', 'hi_en': 'Namaste'}"
45,"{'en': 'Hello', 'hi_en': 'Hello ji'}"
46,"{'en': 'The movie is John Wick. Have you seen it before?', 'hi_en': 'The movie is John Wick. Kya tunme isse pahle dekha hai>'}"
47,"{'en': 'I just watched it yesterday ', 'hi_en': 'Haan, Kal I just watched it.'}"
48,"{'en': 'Did you enjoy it?', 'hi_en': 'Kya tumne yeh enjoy kiya'}"
49,"{'en': 'yeah I thought it was awesome', 'hi_en': 'Yeah mujhe lagta hain it was awesome'}"
50,"{'en': 'I thought the same thing when I watched it. Keanu was amazing in it.', 'hi_en': 'Muje wohi lagta hain jab I watched it. Keanu was amazing in it.'}"
51,"{'en': 'I feel like they dont make movies like that anymore, like action movies', 'hi_en': 'Mujhe lagta hain woh ab iski tarah do not make movies anymore, like action movies.'}"
52,"{'en': ""They really don't and they should start making this style."", 'hi_en': 'Bilkul nahin and ab woh start making this style'}"
53,"{'en': 'Yeah exactly ', 'hi_en': 'yes exactly'}"
54,"{'en': 'It was nice to see John Leguizamo make a little bit of a comeback.', 'hi_en': 'yah dekh ke achcha laga ki John Leguizamo ne ek chhota mota comeback kiya hai'}"
55,"{'en': 'I dont remember seeing him in the first one', 'hi_en': 'Mujhe yad nahi first one me use dekhne ka'}"
56,"{'en': 'I would have had the same reaction as Wick  to anyone who killed the puppy my dead wife gave to me.', 'hi_en': 'mera reaction bhi Wick ki tarah hi hota agar kisi ne mere us puppy ka mara hota jo ki mujhe meri dead wife ne diya tha'}"
57,"{'en': 'yeah your right I would have gone insane.', 'hi_en': 'yes aap right ho mai bhi insane ho jata'}"
58,"{'en': ""It was interesting to see a part of the assassin world. John Wick's car was pretty beautiful until it got stolen."", 'hi_en': 'bahut interesting tha assassin ki duniya ke part ko dekhna. John Wick ki car bahut beautiful thi chori hone se pahle.'}"
59,"{'en': 'I was thinking the same thing yesterday his car is cool.', 'hi_en': 'mai bhi kal yahi soch raha tha ki uski car kitni cool hai.'}"
60,"{'en': 'Hey', 'hi_en': 'aho'}"
61,"{'en': 'Hi', 'hi_en': 'HELLO'}"
62,"{'en': 'How’s it going?', 'hi_en': 'KAISA CHAL RAHA HAI?'}"
63,"{'en': 'Pretty good. Are you a Marvel fan?', 'hi_en': 'ACHA. KYA AAP MARVEL KA FAN HO?'}"
64,"{'en': 'Good to hear. Sure, what about you?', 'hi_en': 'SUN KE ACHA LAGA. AAP KA BHAT KYA HAI?'}"
65,"{'en': 'Yes, I am a huge Marvel fan. One of my favorites is the Avengers. Mark Ruffalo is great as The Hulk. ', 'hi_en': 'HA MAIN BAHOOT BADA MARVEL FAN HUH . AVENGERS MERA FAVORITE AUR MARK RUFFALO BAHOOT BADIA THA HULK JAISAA.'}"
66,"{'en': 'Sure, I liked the Avengers a lot.', 'hi_en': 'TEEK HAI , MERE KHO BHI AVENGERS PASANDH HAI'}"
67,"{'en': 'I also think Ruffalo is a great Hulk.', 'hi_en': 'MAIN BHI YE SOCH RAHA KI MARK RUFFALO BADIA HAI HULK KE LIYA.'}"
68,"{'en': 'Is Avengers the movie we’re supposed to talk about?', 'hi_en': 'kya Avengers aesi Movie he ki hame iske bare me talk karna chahiye?'}"
69,"{'en': 'Rotten Tomatoes gave it a 92% rating and average of 8/10. Yes, I believe so. ', 'hi_en': 'Rottten Tomatoes ne ise 92% rating di he aur 8/10 ka average. ya , me aisa believe karta hu.'}"
70,"{'en': 'Okay then. Right, I’ve always experiened that IMDB gives movies a lower average rating than rotten tomatoes.', 'hi_en': 'tab oke he. Right, me hamesha experience kiya he ki Rotten Tomatoes ke comparison me  IMDB movies ko lower average rating deta he.'}"
71,"{'en': 'Tha', 'hi_en': 'not he it is tha'}"
72,"{'en': ""That's true"", 'hi_en': 'ye to sure he'}"
73,"{'en': 'But I guess 92 and 80 are a fair assesment.', 'hi_en': 'but mujhe lagta he ki 92 aur 80 to fair rating assessment he.'}"
74,"{'en': 'Yeah, I think Joss Whedon was a good choice for director also. His vision was really inline with the comics. ', 'hi_en': 'han, mujhe lagta he ki director ke liye bhi Joss Whedon good choice . uska vision comics ke sath vastav me inline tha.'}"
75,"{'en': 'Well, I can’t speak for the comics (haven’t read them), but this movie is a great mashup of all the heroes and their stories.', 'hi_en': 'well, me comics ke regarding to kah nahi sakta (me unhe read nahi kiya ke), but ye movies all heroes aur unki stories ka ek great mashup ke.'}"
76,"{'en': 'I guess it’s just a very good movie with an amazing plot.', 'hi_en': 'meraguess ye he ki ye ek very good movie he amazing plot ke sath'}"
77,"{'en': 'I agree. ', 'hi_en': 'me agree karta hu.'}"
78,"{'en': ""Loki using Clint Barton to help him with the Tesseract was awesome too. I like him even though he's a bad guy"", 'hi_en': 'Loki ka Clint Barton ko use karna  Tesseract ki liye help k liye bhi awesome tha. Mujhe wo pasand hai even though wo bad guy hai'}"
79,"{'en': 'Right, that was a great scene.', 'hi_en': 'Haan, badhiya scene tha.'}"
80,"{'en': 'Loki’s a likable villain I’d say.', 'hi_en': 'Main bolunga k Loki ek likable villain hai'}"
81,"{'en': 'It was interesting how it caused such a riff within The Avengers. Thor still felt like he had loyalty to him for a long time during the movie. ', 'hi_en': 'Avengers me uska kaha suni karwarna kaafi interesting tha. Thor ko movie k doran aise lag raha tha uske liye loyalty hai'}"
82,"{'en': 'You think?', 'hi_en': 'Tum ye sochte ho?'}"
83,"{'en': 'I thought he was pretty ruthless with him.', 'hi_en': 'Mujhe to laga wo uske saath kaafi ruthless tha'}"
84,"{'en': 'That’s just my opinion obviously.', 'hi_en': 'Wo bas mera opinion hai obviously.'}"
85,"{'en': 'I can see that somewhat but he could have done a lot more damage if he wanted to. ', 'hi_en': 'Main wo dekh sakta hu but mujhe lagta hai wo bahut jyada damagar kar sakta tha agar wo chahta wo'}"
86,"{'en': 'Do you have a specific example on mind?', 'hi_en': 'Tumhare mind me koi specific example hai?'}"
87,"{'en': 'The end fight scene definitely was. He could have killed him. ', 'hi_en': 'Wo end fight scene definitely. Wo use maar sakta tha.'}"
88,"{'en': 'Oh, the one where Hulk ends up hitting him?', 'hi_en': 'oh wha kha hai jise hulk maar rha hai?'}"
89,"{'en': 'Yeah, that was classic. One of the funniest moments of the movie. I also liked when Iron Man fell back through the wormhole. It had everyone on edge I think. ', 'hi_en': 'ha yeh classic tha film ke sabse majedar samay mai se ek muje bhi pasand aya maine wormhole ke madhyam se vapas gir gaya muje lgta hai ki yeh har kisi ke pass tha'}"
90,"{'en': 'Absolutely. Epic scenes.', 'hi_en': 'bilkul mahakavya ke scenes hai'}"
91,"{'en': 'Can we talk about other movies or just this one?', 'hi_en': 'kya hum isse movie ke bare mai charcha ker sakte hai?'}"
92,"{'en': 'You know, MCU', 'hi_en': 'kya tum MCU jante ho?'}"
93,"{'en': 'I also like the way Nick Fury stood his ground with the Council. Just this one. ', 'hi_en': 'muje bhi yeh pasand hai ki nick fury ne council ke sath apna ground bta diya sirk yeh ek'}"
94,"{'en': 'Understood.', 'hi_en': 'samaj gya'}"
95,"{'en': 'Yeah, Fury’s great too.', 'hi_en': 'ha fury bhi bhota bada hai'}"
96,"{'en': 'So, any final thoughts?', 'hi_en': 'to koi akhri sujhav?'}"
97,"{'en': ""It's crazy that the Council wanted him to drop a nuclear missile into New York. "", 'hi_en': 'ye crazy baat hai ki council chahti hai ki nuclear missile new york par gire'}"
98,"{'en': 'Great examples, man.', 'hi_en': 'great udahran, man'}"
99,"{'en': 'It was great talking to another MCU fan.', 'hi_en': 'Another MCU fan se talk karna great tha'}"
100,"{'en': 'Take care now!', 'hi_en': 'now dhyan rakhna'}"
101,"{'en': 'Definitely! You too!', 'hi_en': 'Definitely! tum bhi!'}"
102,"{'en': 'Hello!', 'hi_en': 'Hello?'}"
103,"{'en': 'Hello so the movie we will be talking about is Batman V. Superman', 'hi_en': 'Hello to hum aaj jis movie k baare me baat karege wo hai Batman V Superman'}"
104,"{'en': ""Great! I haven't actually seen that yet, but have been really wanting to. Which actors play Batman and Superman?"", 'hi_en': 'Great, maine abhi tak wo dekhi nahi hai, but sahi me dekhna chahta hu. Batman aur Superman kaun actors bane hai?'}"
105,"{'en': 'The actors are really great and you probably know all of them. Ben Affleck , Henry Cavill, Amy Adams, and Jesse Eisenberg to name a few.', 'hi_en': 'Actor bohot aache hai, aur tum shaiyad sabko jante ho. Ben affleck, henry cavill, amy adams, aur jesse eisenberg kuch naam hai'}"
106,"{'en': 'Oh, that is a great cast? Henry Cavill played Superman in the latest Superman film right?', 'hi_en': 'Oh ye to bohot aachi cast hai? Henry cavill ne superman ka kirdaar nibhaya tha na latest superman film me?'}"
107,"{'en': 'Sorry, a great cast!', 'hi_en': 'Maaf karna, ek aachi cast!'}"
108,"{'en': 'I am not sure but the film is still a part of the DC extended universe. Also it will be featuring wonder woman.', 'hi_en': 'Mai nahi bol sakta lekin film ek part hai DC extended universe ka. Aur vo naya kirdar wonder women bhi dikhayenge'}"
109,"{'en': 'Ooh, that is excellent. I am looking forward to seeing Wonder Woman! Are Batman and Superman enemies at the start of the film?', 'hi_en': 'Ye to kaafi aacha hai. Mai wonder women ko deekhna chahunga! Kyaa batman aur superman dushman hai movie chalu hote samay'}"
110,"{'en': 'Well lex luthor manipulates batman into a battle with Superman because he is obssessed with cloning superman.', 'hi_en': 'Kyaa lex luthor uksayega batman ko ek ladai ke liye superman ke saath kyunki vo obssessed hai clone superman se'}"
111,"{'en': 'Oh! So Batman is supposed to bring Superman to Lex Luthor?', 'hi_en': 'Oh! batman superman ko lex luthor ke paas lekar jata hai'}"
112,"{'en': 'No that is not the case however he is manipulated into helping. By the way did I mention this is going to be the first time batman and superman are in a movie together?', 'hi_en': 'Nahi ye case nahi hai jabki vo uksata hai madat karne ko. Kyaa maine bataya ke ye pehli baar hai ke batman aur superman ek saath movie me hai?'}"
113,"{'en': 'Really? The first time? That seems pretty amazing knowing that the characters have been around for so long! Very cool. Is the story set in Metropolis or Gotham?', 'hi_en': 'Sahi me? Pehli baar? Ye kaafi aacha sunai deta hai ke kirdaar aas paas rahe hai itne samay se! Kaafi aacha. Ye story metropolis me hai ya gotham me?'}"
114,"{'en': 'The film appears to take place in both cities, and Batman comes to view Superman as a threat to humanity.', 'hi_en': 'Film dono jagah hoti hai, aur batman superman ko ek khatre ke tarah deekhta hai manavta ke liye'}"
115,"{'en': 'That is interesting, to have the film set in both cities. So Batman sees it as his duty somewhat to take Superman down?', 'hi_en': 'Yeh interesting hai, dono cities mein film set hona. to Batman ne Superman ko neecha le jana kuch hadd tak apni duty mani hai?'}"
116,"{'en': ""Well the relationships of the characters are quite complex because Clark Kent A.K.A. Superman learns of Batman's justice methods and tries to expose him. All this happening while Lex luthor makes moves to get approval to obtain kryptonite from a senator."", 'hi_en': 'Khair characters ke relationships kafi complex hai kyunki  Clark Kent A.K.A. Superman Batman ke justice krne ke tarike sikh gya hai or use expose krne ki koshish krta hai. Ye sab tab hota hai jan Lex Luthor ek senator se kryptonite lene ka approval lene ke liye chaalein chalta hai.'}"
117,"{'en': 'Interesting. And so, I imagine Lois Lane is in this story? If so, does she serve a greater purpose? Does she know both superheroes?', 'hi_en': 'Dilachasp. Aur isliye, mujhe lagta hai ki kahani mein Lois Lane hai? Agar aisa hai to, kya wo koi bada purpose serve kr rahi hai? Kya use dono superheroes ke baare mein pta hai?'}"
118,"{'en': 'Maybe but I am not sure. By the way do you usually care about reviews?', 'hi_en': 'Shayad but main sure nhi huin. Vaise tum aamataur par reviews ki paravaah karte ho?'}"
119,"{'en': ""I will often read reviews to see what people have to say, but I don't change my mind about wanting to see a movie based on reviews. I think that I can't really know unless I see for myself. Do you care about reviews?"", 'hi_en': 'Main aksar reviews ko padhta hoon ki logon ka kya kahana hai, lekin main reviews ke aadhaar par movie dekhne ke baare mein apana mann nahin badalata huin. Mujhe lagata hai ki main vaastav mein tab tak nahin jaan sakta jab tak ki main kud se nahi dekhta. Kya tum reviews ki paravaah karte ho?'}"
120,"{'en': 'Not usually I like to be my own judge however if the reviews are overwhelmingly bad or good then it may influence whether or not I watch in theatres. I have to say for this movies though the reviews are quite mixed. ', 'hi_en': 'Aamataur par main apana khud ka judge banna pasand karta huin lekin agar reviews bahut bure ya achhe hai to yeh influence kar sakta hai ki main cinema main dekhta hoon ya nahin. Mujhe is movie ke lie kehna hoga, haalaanki reviews kaafi mixed hai.'}"
121,"{'en': 'Did you enjoy this film?', 'hi_en': 'Kya tumne ye film enjoy ki?'}"
122,"{'en': 'I did. I really liked seeing the scenes where batman manages to subdue the superman.', 'hi_en': 'Han. Mujhe vaastav mein un scenes ko dekhna pasand tha jahaan batman superman ko vash mein karne ke arrangements karta hai.'}"
123,"{'en': ""Cool. I guess that's one of the ultimate questions, which one could beat out the other. Do they team up at all in the film ?"", 'hi_en': 'Badiya. Mujhe lagata hai ki yeh param savaalon mein se ek hai, kaun dusre ko hara sakta hai. Kya ve film mein team up krte hai?'}"
124,"{'en': 'Yes in Batman chooses to save Supermans mother while Superman confonts Lex.', 'hi_en': 'Han Batman Superman ki maa ko bachaane ko chunta hai jabaki superman Lex ka saamana karta hai.'}"
125,"{'en': ""Oh wow! The pairing of Batman and Superman's mom is a really cool part of the story, heartwarming."", 'hi_en': 'tho acha hein! yeh tho batman aur superman ka mummy ka pairing hein jo bahut cool hein aur heartwarming hein'}"
126,"{'en': 'I know but the film ends with sadly the death of Superman.', 'hi_en': 'muje patha tha lekin is film ka end tho superman ka mouth tho bada sad huva'}"
127,"{'en': 'Oh wow! I am surprised by that, I thought they would keep their story line going for another movie or two. ', 'hi_en': 'are vah! mein tho surprised huva, lekin mein soch raha hoon ki is story line tho dusra movie se likha gaya hein'}"
128,"{'en': 'Dont worry the dirt on top of the coffin vibrates a nice wink from the Director.', 'hi_en': 'coffin ka vibrates ke baare mein koi worry na kare. kyon ki is wink us director ka hein'}"
129,"{'en': ""Haha! That's the closing shot?!"", 'hi_en': 'ha ha.. yeh tho closing shot nikhla'}"
130,"{'en': 'I believe so it is in the last scene.', 'hi_en': 'mein believe kartha ki voh last scene se hein'}"
131,"{'en': 'Awesome! Take care.', 'hi_en': 'awesome yar.. dhyan rakhna'}"
132,"{'en': 'hello', 'hi_en': 'hello'}"
133,"{'en': 'what is the name of the movie?', 'hi_en': 'movie ka nam kya tha?'}"
134,"{'en': 'hello', 'hi_en': 'hello'}"
135,"{'en': ""Did you watch 'The Post'?"", 'hi_en': ""kya tumne 'The Post' dekhi hai?""}"
136,"{'en': 'No, i didnt', 'hi_en': 'nahi mene nahi kia'}"
137,"{'en': 'what genre is it?', 'hi_en': 'konsa genre hai ye?'}"
138,"{'en': ""it is 'Historical, Political'"", 'hi_en': ""ye 'Historical, Political' hai""}"
139,"{'en': 'directed by Steven Spielberg', 'hi_en': 'Steven Spielberg ne isey direct kiya'}"
140,"{'en': 'oh. Does it have any actors that I might know of?', 'hi_en': 'oh. Kya isme koi actor hai jiska mujhe pata ho?'}"
141,"{'en': 'Maryl Stree ', 'hi_en': 'Maryl Stree'}"
142,"{'en': 'Streep', 'hi_en': 'Streep'}"
143,"{'en': 'Tom Hanks', 'hi_en': 'Tom Hanks'}"
144,"{'en': 'is it a new movie?', 'hi_en': 'kya ye nayi movie hai?'}"
145,"{'en': 'yes, 2017', 'hi_en': 'haan, 2017'}"
146,"{'en': 'oh, I guess im a bit behind the times. has it been well received?', 'hi_en': 'oh, mujhe lagta hai main thoda samay mein piche hun. kya ye well received hai?'}"
147,"{'en': ""I think it's worth watching"", 'hi_en': 'main sochta hun ye worth watching hai'}"
148,"{'en': 'do you want to know something about plot?', 'hi_en': 'kya tum plot ke bare mei janana chahte ho?'}"
149,"{'en': 'what type of ""post"" is it named after? whats the movie about?', 'hi_en': 'baad mei post ka kya naam tha? movie ke bare mei kya kahna hai?'}"
150,"{'en': 'yes please', 'hi_en': 'haa please'}"
151,"{'en': 'The Post depicts the story of attempts by journalists at The Washington Post to publish the Pentagon Paers', 'hi_en': 'Is post mei  pentagon paerss ko prakashit karne ke liye journalists ki attempts ki story hai'}"
152,"{'en': 'Papers', 'hi_en': 'papers'}"
153,"{'en': 'oh. is that related to the vietnam war?', 'hi_en': 'ye kya vietnam war se related hai?'}"
154,"{'en': 'yes', 'hi_en': 'haa'}"
155,"{'en': 'is the movie about a government cover up?', 'hi_en': 'ye movie government cover up ke bare mai hai?'}"
156,"{'en': 'the government always has something to hide ;)', 'hi_en': 'goverment hamesh kuch chupane ki koshish karti hai ;)'}"
157,"{'en': 'isnt that the truth!', 'hi_en': 'ye kya sach hai!'}"
158,"{'en': 'it sounds like a movie id enjoy', 'hi_en': 'Mujhe lagta he ki me ye movie enjoy karunga'}"
159,"{'en': 'I think that this film is worth watching', 'hi_en': 'Mujhe lagta he ye movie dekhne layak he'}"
160,"{'en': 'is it a long show?', 'hi_en': 'Kya yaha lamba show he?'}"
161,"{'en': 'do you know the length?', 'hi_en': 'Kya tumhe length pata he?'}"
162,"{'en': 'I dont know the length', 'hi_en': 'Mujhe length nai pata.'}"
163,"{'en': 'but probably about 1.30h as usual...', 'hi_en': 'Lekin probably 1.30h as usual..'}"
164,"{'en': 'do you know if it has won any awards?', 'hi_en': 'Kya tumhe pata he agar koi award jita he?'}"
165,"{'en': ""I don't know"", 'hi_en': 'Mujhe nahi pata'}"
166,"{'en': 'well thanks for telling me about the post. :)', 'hi_en': 'Thanks mujhe post ke bare me batane ke liye.'}"
167,"{'en': 'Hello!', 'hi_en': 'Hello?'}"
168,"{'en': 'Hello so the movie we will be talking about is Batman V. Superman', 'hi_en': 'Hello to hum aaj jis movie k baare me baat karege wo hai Batman V Superman'}"
169,"{'en': ""Great! I haven't actually seen that yet, but have been really wanting to. Which actors play Batman and Superman?"", 'hi_en': 'Great, maine abhi tak wo dekhi nahi hai, but sahi me dekhna chahta hu. Batman aur Superman kaun actors bane hai?'}"
170,"{'en': 'The actors are really great and you probably know all of them. Ben Affleck , Henry Cavill, Amy Adams, and Jesse Eisenberg to name a few.', 'hi_en': 'Actors sahi me acche hai aur tum probably sabhi ko jaante ho. Unme se kuch Ben Affleck , Henry Cavill, Amy Adams, and Jesse Eisenberg hai'}"
171,"{'en': 'Oh, that is a great cast? Henry Cavill played Superman in the latest Superman film right?', 'hi_en': 'Oh, ye to badhiya cast hai? Henry Cavill ne latest Superman film me Superman play kiya tha na?'}"
172,"{'en': 'Sorry, a great cast!', 'hi_en': 'Sorry badhiya cast hai!'}"
173,"{'en': 'I am not sure but the film is still a part of the DC extended universe. Also it will be featuring wonder woman.', 'hi_en': 'Main sure to nahi but ye movie DC extended universe ka part hai. Also isme wonder woman bhi ayegi'}"
174,"{'en': 'Ooh, that is excellent. I am looking forward to seeing Wonder Woman! Are Batman and Superman enemies at the start of the film?', 'hi_en': 'Oooh ye to excellent hai. Mujhe Wonder Woman dekhni hai. Kya film k start me Batman aur Superman dushman hai?'}"
175,"{'en': 'Well lex luthor manipulates batman into a battle with Superman because he is obssessed with cloning superman.', 'hi_en': 'Well Lex Batman ko Superman se ladne me manipulate kar deta hai because wo superman ko clone kar ke liye obssessed hai.'}"
176,"{'en': 'Oh! So Batman is supposed to bring Superman to Lex Luthor?', 'hi_en': 'Oh! To Batman Superman ko Lex Luthor k paas leke jata hai'}"
177,"{'en': 'No that is not the case however he is manipulated into helping. By the way did I mention this is going to be the first time batman and superman are in a movie together?', 'hi_en': 'Nahi, waise nahi hota hai but wo use help karne me manipulate ho jata hai. By the way kya maine mention kiya ye pahli movie hai jisme batman aur superman saath me hai?'}"
178,"{'en': 'Really? The first time? That seems pretty amazing knowing that the characters have been around for so long! Very cool. Is the story set in Metropolis or Gotham?', 'hi_en': 'Really? pahli baar? Ye jaante huye ke dono character itne time se hai ye cheez to bahut amazing hai. Bahut cool. Story Metropolis me set hai k gotham me?'}"
179,"{'en': 'The film appears to take place in both cities, and Batman comes to view Superman as a threat to humanity.', 'hi_en': 'Aisa lagta hai k film dono cities me hoti hai, aur Batman ko lagta hai k Superman humanity k liye ek threat hai.'}"
180,"{'en': 'That is interesting, to have the film set in both cities. So Batman sees it as his duty somewhat to take Superman down?', 'hi_en': 'yeh tho interesting hei yar, is film tho dono cities ke hein. tho batman ko aasan padega us superman ka duty karne mein?'}"
181,"{'en': ""Well the relationships of the characters are quite complex because Clark Kent A.K.A. Superman learns of Batman's justice methods and tries to expose him. All this happening while Lex luthor makes moves to get approval to obtain kryptonite from a senator."", 'hi_en': 'tho is characters ka relationships tho bada complex hein yar kyon ki clark kent ke vaje. superman tho batmans ka justice method learn kiya aur usse expose bhi kiya. tho lex luthor ne kryptonite ko approval kiya us senator se'}"
182,"{'en': 'Interesting. And so, I imagine Lois Lane is in this story? If so, does she serve a greater purpose? Does she know both superheroes?', 'hi_en': 'interesting yar, mein ab is story ko imagine ki.. tho uska greater purpose kya hein? kya voh dono superheroes ko jaanthi hein?'}"
183,"{'en': 'Maybe but I am not sure. By the way do you usually care about reviews?', 'hi_en': 'mein kuch sure nahi hoon. kya aap reviews ke anusar movie dekhne chalte?'}"
184,"{'en': ""I will often read reviews to see what people have to say, but I don't change my mind about wanting to see a movie based on reviews. I think that I can't really know unless I see for myself. Do you care about reviews?"", 'hi_en': 'mein tho reviews ke anusar hi jaatha ki kaise logo is movie ko dekhthe lekin mein reviews se apna mind change nahi kartha. muje lagtha hein ki yeh sab bakvas hein. kya aap review ko care karte?'}"
185,"{'en': 'Not usually I like to be my own judge however if the reviews are overwhelmingly bad or good then it may influence whether or not I watch in theatres. I have to say for this movies though the reviews are quite mixed. ', 'hi_en': 'nahi yar mein apne aap judge kartha.. lekin kuch reviews tho overwhelmingly acha ya bura hota jo muje theathres mein movie dekhte samai relate kartha hoon. muje lagtha hein ki is movies ka reviews thoda mixed hein'}"
186,"{'en': 'Did you enjoy this film?', 'hi_en': 'kya aap is film ko enjoy kiya?'}"
187,"{'en': 'I did. I really liked seeing the scenes where batman manages to subdue the superman.', 'hi_en': 'haan yar.. muje vakahi mein is scene pasand hein .. batman tho superman ko kisi tarah manage kar raha tha'}"
188,"{'en': ""Cool. I guess that's one of the ultimate questions, which one could beat out the other. Do they team up at all in the film ?"", 'hi_en': 'cool.. tho konsa yeh beat karega? kya yeh film teamup hoga?'}"
189,"{'en': 'Yes in Batman chooses to save Supermans mother while Superman confonts Lex.', 'hi_en': 'haan... isme tho batman ne superman ka mom ko bachana ke liye choose kiya lekin superman tho lex ko confonts'}"
190,"{'en': ""Oh wow! The pairing of Batman and Superman's mom is a really cool part of the story, heartwarming."", 'hi_en': 'oh wow! Batman aur Superman ke mom ki pairing really sabse cool part tha story ka, heartwarming.'}"
191,"{'en': 'I know but the film ends with sadly the death of Superman.', 'hi_en': 'I know but sadly fim ka end Superman ki death ke sath hota hai.'}"
192,"{'en': 'Oh wow! I am surprised by that, I thought they would keep their story line going for another movie or two. ', 'hi_en': 'oh wow! mujhe surprise hua isse, I thought wo log apni story line ko aage badhne denge aage ki ek do aur movie ke liye.'}"
193,"{'en': 'Dont worry the dirt on top of the coffin vibrates a nice wink from the Director.', 'hi_en': ""Don't worry coffin ke upar ki dhool ko hilte hue dikhaya director ne kisi badhiya wink ki tarah.""}"
194,"{'en': ""Haha! That's the closing shot?!"", 'hi_en': 'haha! wo to closing shot tha?!'}"
195,"{'en': 'I believe so it is in the last scene.', 'hi_en': 'I believe so ye last scene me ha na'}"
196,"{'en': 'Awesome! Take care.', 'hi_en': 'awesome! take care'}"
197,"{'en': 'Hello', 'hi_en': 'Hello'}"
198,"{'en': 'Hi', 'hi_en': 'Hi'}"
199,"{'en': 'What is the name of the movie?', 'hi_en': 'Movie ka kya name hai?'}"
200,"{'en': 'Batman v Superman. Have you watched it ?', 'hi_en': 'Batman vs Superman. Kya tumne yeh dekhi hai?'}"
201,"{'en': 'No, I havent, is it good?', 'hi_en': 'Nhi, maine nhi, kya yeh achhi hai?'}"
202,"{'en': 'Are you still there?', 'hi_en': 'Kya tum abhi bhi wahin ho?'}"
203,"{'en': ""It's better than Man of Steel, the superman movie"", 'hi_en': 'superman movie is better than Man of Steel'}"
204,"{'en': 'But well below Dark Knight.', 'hi_en': 'par achi blow hai Dark Knight'}"
205,"{'en': 'Jaws was such a good movie!', 'hi_en': 'Jaws kya good movie thi!'}"
